Internal state factors,Motion process,Navigation process,External factors
Intrinsic&factor|Intrinsic&driver|Intrinsic&influence,Random walk,Memory!long memory,Extrinsic&factor|Extrinsic&driver|Extrinsic&influence
Endogenous,Biomechanic,Sensory acquisition|Sensory information,Environmental&factor|Environmental&predictor|Environmental&driver|Environmental&variable
Physiolog,Locomot,Path integration,Exogenous
Psycholog,Motor!motorized,^Compass$!Compass-gait,^Abiotic$
Neurolog,Levy,Cognitive|Spatial cognition,^Biotic$
Hormon,Walking,Homing!homing pigeon,Habitat!natural habitat!adehabitat
Hunger|Hungry|Appetite|Nutrition|Starvation resistance,Running,Homed,Resource!natural resource
Heart rate|Heart-rate|Aerobic scope,Swimming,^Orient$|^Orientation$,Seasonal
Respiration rate|Respiration-rate,Gliding!gliding mammal,Olfact,Conspecific|Con-specific
Social status|Social rank|Social dominance|Dominance status|Dominance rank|Agressi,Ballistic,Chemor,Magnetic field|Magnetic-field
Breeding stat|Reproductive stat,Flapping,Magnetor,Celestial cue|^Stars$
Breeding stage|Reproductive stage,Soaring flight|Soaring behaviour,,Landmark
Breeding condition|Reproductive condition,Brownian motion|Brownian-motion|Brownian movement|Brownian-movement,,Odour|Olfactory cue
Body mass,^Dive$|^Dives$,,Polarized light|Polarised light
Body size,Tortuo,,Visual cue
Body condition|^fat$|lipid reserve|water balance|water reserve,Sinuo,,Anthropogen
Morpholog,Paddling,,Human-activit
Energetic|Energy expen|Energy intake|Basal metabolic rate|Active metabolic rate|Field metabolic rate,kinematics,,Human activit
Telomere,,,Human-disturbance
Previous experience|Past experience,,,Human-dominated
Individual quality|Individual heterogeneity,,,Human dominated
Personalit|Aggressiveness|Boldness|Temperament,,,Human-wildlife
^Sex$|Gender,,,Human-altered
Sexual dimorphism,,,Human altered
Age class|Age-class,,,Human crowd
^Age$!Forest age|Life-span,,,Parasit|Disease
Homeosta,,,Competit
Life-history stage|Life history stage|Life stage|Life-history phase|Life history phase|Life phase,,,Predation|Predator-prey
Stress toleran|Cortico|cortis,,,Weather|Meteorolog
Genetic relatedness|Inbreeding avoidance|Kinship,,,Diel|Daytime|Nighttime|Sunrise|Sunset|Dawn|Dusk|Day-time
Plasticity|Flexibility,,,Night-time!Night-time satellite
Adapt|Evol|Eco-dev|Eco-evol,,,Moonli|Lunar
,,,Topograph
,,,Vegetation
,,,Oceanograph
,,,Collective behaviour|Collective behavior|Collective animal behaviour|Collective animal behavior|Collective motion
,,,Group-formation|Group formation
,,,Group size
,,,Group behaviour!Group behavioural
,,,Group behavior!Group behavioral
,,,Social interaction
,,,Primary productivity
,,,Prey distribution|Prey density|Prey availability|Prey quality|Prey abundance
,,,Atmospheric
,,,^Ice$
,,,^Fire$
,,,Snow cover|Snow depth
,,,Snowmelt
,,,Storm
,,,^Rain$|Precipitation|Rainfall|Snowfall
,,,Sea-surface-temperature|Sea-surface temperature|Sea surface temperature|Water temperature
,,,Air temperature|Air-temperature|Ambient temperature|Ambient-temperature
,,,Cloud cover
,,,Barometric pressure
,,,Ocean surface|Ocean current|Water current
,,,^Road$
,,,Dissolved oxygen
