R,Python,Matlab,Java,C,Fortran,WinBUGS,Agent-Analyst,ArcGIS,BASTrack,QGIS,GRASS,SPSS,Excel,Noldus observer,QBASIC,i3s,SAS,Mark,fragstats,postgis,databases,e-surge,m-surge,u-care,Genstat,Biotas,Statview,Primer-e,PAST,STATA,Statistica,UCINET,Mathcad,Vicon,GME
%^R Software%,Python programming language,Matlab,java program,%^C Programming Language%,fortran,winbug,agent-analyst,arcgis,BASTrack,%QGIS%,Geographic Resources Analysis Support System,SPSS,statistiXL,noldus,QBASIC,i3s,%SAS%,%Program MARK%,fragstat ,postgis,rdbm,^e-surge$,^m-surge$,^u-care$,Genstat,%Biotas ver\.%,Statview,primer-e,paleontological statistics software,%STATA%,^Statistica$,UCINET,Mathcad,Vicon Nexus,Geospatial Modelling Environment
%^R Development Core%,python.org,Mathworks,java code,%Programming Language C$%,,^jags$,,%ESRI%,,,grass.osgeo.org,Statistical Package for the Social Sciences,microsoft excel,,,,Statistical Analysis System,%MARK program%,,^post gis$,postgres,,,,,,,,,,,,,Vicon Motion Systems,%^GME$%
%^R statistical language%,Python script,,java script,^C\+,,,,%Arc$ GIS%,,,%^GRASS GIS%,,XLSTAT,,,,jmp,%program MARK%,,,^post gres$,,,,,,,,,,,,,Nexus Motion Capture Software,
%^R-Core Development%,python software,,,^C\+\+,,,,ArcMap,,,%^GRASS software%,,,,,,,,,,%^POST GRES$%,,,,,,,,,,,,,,
%^R-project%,python language,,,%^C software%,,,,ArcView,,,%software GRASS%,,,,,,,,,,mysql,,,,,,,,,,,,,,
%^R-package%,python code,,,C#,,,,ArcEditor,,,%Software GRASS%,,,,,,,,,,%SQL%,,,,,,,,,,,,,,
%^R package%,python-based,,,%^C Programming Language%,,,,%Arc$ Editor%,,,%GWASS%,,,,,,,,,,^oracle$,,,,,,,,,,,,,,
%^R Core$ Team$%,,,,%Programming Language C$%,,,,%Arc$ Viewer%,,,,,,,,,,,,,^Microsoft access$,,,,,,,,,,,,,,
%^software R$%,,,,,,,,,,,,,,,,,,,,,^post gresql$,,,,,,,,,,,,,,
%^R Foundation for Statistical Computing%,,,,,,,,,,,,,,,,,,,,,^libreoffice base$,,,,,,,,,,,,,,
%CRAN%,,,,,,,,,,,,,,,,,,,,,^relational database,,,,,,,,,,,,,,
cran-r,,,,,,,,,,,,,,,,,,,,,^opennoffice.org base$,,,,,,,,,,,,,,
%^R statistical software%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^R suite$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^R Software%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^R Foundation for Statistical Computing%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^R suite%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^R suite%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^R environment%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^R environment%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"%^R, v\.%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^R version%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^R (version%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"%^R, ver\.%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^R statistical software%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^R ver\.%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^Program R$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^package in R$%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^R statistical environment%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%^R code%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
